,dataset,f1,pr_auc,roc_auc,tpr,fpr,precision,accuracy,training_time(sec),Inference_time(sec),folds_best_params
6,mitdb__100_180.csv,0.3798165816,0.2341269696,0.7666666251,0.8019999674,0.6512999935,0.310240199,0.6923076923,924.8269,2.5197,"{'learning_rate': 0.007, 'loss': 'msle', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
7,mitdb__100_180.csv,0.07869138404,0.1111111094,0.3499999807,0.1909999922,0.3399999966,0.05093335497,0.6923076923,972.2392,2.9609,"{'learning_rate': 0.005, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
8,mitdb__100_180.csv,0.06276957265,0.1372354441,0.2833333186,0.1586666608,0.4487999955,0.03954859548,0.4615384615,942.966,3.1145,"{'learning_rate': 0.005, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
9,mitdb__100_180.csv,0.08437033799,0.07142857302,0.399999956,0.2809999831,0.4368999956,0.05038088257,0.7692307692,918.0109,2.478,"{'learning_rate': 0.007, 'loss': 'msle', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
0,stdb_308_0.csv,0.07178149501,0.04166667238,0.08333332431,0.238999989,0.4629999961,0.04292051253,0.7333333333,704.8946,2.9389,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
1,stdb_308_0.csv,0.0759201555,0.05000000285,0.2499999729,0.3549999737,0.4890833293,0.04323729572,0.8,944.9096,4.3319,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
2,stdb_308_0.csv,0.06743919331,0.04166667315,0,0.2449999852,0.6113636308,0.04027509128,0.7333333333,1019.7403,3.2945,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
3,stdb_308_0.csv,0.08068247257,0.04166667315,0,0.2139999929,0.5357272679,0.05018058574,0.7333333333,1027.7581,3.3182,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
4,stdb_308_0.csv,0.1571404598,0.124999995,0.7499999354,0.513999969,0.4114166632,0.09324431012,0.8,873.0873,5.249,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
5,stdb_308_0.csv,0.06982233728,0.04545454885,0.1666666486,0.3079999775,0.6087499949,0.04002137832,0.8,893.317,2.5206,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
6,stdb_308_0.csv,0.07586720625,0.0500000055,0.181818162,0.2859999803,0.5185454498,0.04502680617,0.7333333333,1012.3785,3.5768,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
7,stdb_308_0.csv,0.09167160265,0.0681818189,0.1666666569,0.3334999842,0.6553333279,0.0533833829,0.8,907.8825,3.5096,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
8,stdb_308_0.csv,0.1100515371,0.1017045422,0.3333333139,0.3344999876,0.4579999962,0.06595944563,0.8,988.2196,3.1111,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
9,stdb_308_0.csv,0.1578698307,0.1666666556,0.6363635692,0.5853332991,0.6165454489,0.09249094164,0.1538461538,856.2229,3.2627,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
0,xmitdb_x108_0.csv,0.3314944753,0.08333334384,0,0.6359999733,0.8863999823,0.228450394,0.5555555556,758.8036,3.1774,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
1,xmitdb_x108_0.csv,0.5141728512,0.39627974,0.4666666434,0.7238333146,0.7359999853,0.447826577,0.5555555556,861.3301,2.9587,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
2,xmitdb_x108_0.csv,0.4995123756,0.2916666523,0.599999958,0.9079999673,0.8921999822,0.348676186,0.4444444444,839.8121,2.1236,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
3,xmitdb_x108_0.csv,0.5003904308,0.2166666635,0.2499999813,0.7889999747,0.8852499779,0.3714896776,0.5,907.7752,3.1639,"{'learning_rate': 0.005, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
4,xmitdb_x108_0.csv,0.2116378992,0.1428571426,0,0.3639999892,0.7753999845,0.1501408713,0.5555555556,974.6773,2.6968,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
5,xmitdb_x108_0.csv,0.4722016123,0.2083333273,0.2666666491,0.8451666359,0.8897999822,0.3307468209,0.4444444444,839.2835,2.8741,"{'learning_rate': 0.007, 'loss': 'msle', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
6,xmitdb_x108_0.csv,0.2610348962,0.2492063432,0,0.4056666547,0.8347499791,0.1932158704,0.1428571429,849.5525,4.2467,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
7,xmitdb_x108_0.csv,0.1939809343,0.1833333336,0,0.2974999912,0.6884999828,0.1450809505,0.3333333333,993.825,3.8868,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
8,xmitdb_x108_0.csv,0.2539158677,0.1547619035,0,0.418499989,0.6737999865,0.1824761884,0.4444444444,990.4623,3.5248,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
9,xmitdb_x108_0.csv,0.5058139185,0.1444444462,0.06666666311,0.8351666439,0.9375999812,0.3640194403,0.4444444444,1012.5961,2.4564,"{'learning_rate': 0.005, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 3, 'batch_size': None}"
0,cardio.csv,0.1885412653,0.03707967882,0.7072649294,0.764333305,0.6122564087,0.1693674729,0.8285714286,815.1074,4.7195,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
1,cardio.csv,0.389906966,0.3648147897,0.9230768899,0.7639999745,0.335820512,0.3383095001,0.8585714286,994.9413,5.2723,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
2,cardio.csv,0.1854148986,0.06621260497,0.5065789332,0.6702499825,0.6518421035,0.1835998646,0.8047619048,988.5813,3.8152,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
3,cardio.csv,0.5457922961,0.7499999448,0.9999999724,0.7509999812,0.2507368414,0.6663845182,0.8247619048,973.9272,4.508,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
4,cardio.csv,0.2666660719,0.195550144,0.7918918739,0.6739999865,0.5243243229,0.3464216895,0.880952381,968.3552,6.7278,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
5,cardio.csv,0.1246905943,0.09056914965,0.675213651,0.7291666423,0.6605897419,0.06993812264,0.8285714286,979.1748,3.1949,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
6,cardio.csv,0.3019202162,0.5468749569,0.9144736585,0.8122499794,0.5831578932,0.3480335524,0.8347619048,964.0272,6.6796,"{'learning_rate': 0.005, 'loss': 'msle', 'clipnorm': 2.5, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
7,cardio.csv,0.2504775429,0.06747099926,0.6589912041,0.6004166504,0.4643157883,0.37151235,0.8747619048,982.7448,3.0269,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
8,cardio.csv,0.4814382273,0.7581348796,0.9861110919,0.7164999881,0.3593611101,0.6192394716,0.8571428571,961.245,4.2517,"{'learning_rate': 0.007, 'loss': 'msle', 'clipnorm': 2.5, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
9,cardio.csv,0.4294870787,0.7499999448,0.9999999724,0.8579999786,0.4772105251,0.4536031769,0.7947619048,901.5848,2.2627,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
0,cardio_blood.csv,0.1169795699,0.09931456961,0.6837606567,0.6278333115,0.5568974345,0.06844110529,0.8385714286,716.9799,4.9719,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
1,cardio_blood.csv,0.3500119725,0.4999999375,0.9999999475,0.9529999524,0.4530249989,0.3006780074,0.8123809524,1047.8803,2.6354,"{'learning_rate': 0.005, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
2,cardio_blood.csv,0.1937104499,0.1714015072,0.7938596174,0.8614166391,0.670026314,0.1191907101,0.8447619048,941.8026,3.4314,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
3,cardio_blood.csv,0.6183885157,0.7499999448,0.9999999724,0.8034999799,0.2009473679,0.7002305217,0.8047619048,1041.057,3.524,"{'learning_rate': 0.005, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
4,cardio_blood.csv,0.3107322688,0.2247913989,0.7609648863,0.6735833142,0.4134999989,0.3598589901,0.8147619048,946.6204,5.3389,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
5,cardio_blood.csv,0.3626176541,0.3062191851,0.7105262945,0.4449999885,0.2088684205,0.7254068,0.7947619048,866.5375,3.0242,"{'learning_rate': 0.005, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
6,cardio_blood.csv,0.3137425119,0.2577380837,0.8848683962,0.7117499819,0.4477894725,0.3788223878,0.8247619048,900.9606,3.5065,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
7,cardio_blood.csv,0.2010582059,0.1608699583,0.6652777604,0.6470999862,0.559805554,0.1300075038,0.8571428571,980.977,4.3601,"{'learning_rate': 0.007, 'loss': 'msle', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
8,cardio_blood.csv,0.3863293236,0.4055555289,0.9649122539,0.712999982,0.3477105254,0.5156941369,0.7847619048,1112.2526,3.8883,"{'learning_rate': 0.005, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
9,cardio_blood.csv,0.2879057323,0.3946969494,0.8756756526,0.7284999841,0.4978378365,0.2484776104,0.880952381,936.6221,2.2553,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
0,cardio_veins.csv,0.2139511956,0.2916666422,0.948717907,0.8756666347,0.6721794855,0.165830942,0.9285714286,774.5906,2.644,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
1,cardio_veins.csv,0.5159676476,0.6930951953,0.9837837614,0.7933999841,0.3425135126,0.5810710847,0.880952381,903.8352,3.312,"{'learning_rate': 0.005, 'loss': 'mse', 'clipnorm': 2.5, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
2,cardio_veins.csv,0.4216419587,0.5694443936,0.9914529559,0.8479999717,0.3551538452,0.4378200946,0.9285714286,870.9698,2.9319,"{'learning_rate': 0.005, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
3,cardio_veins.csv,0.3004719699,0.2412036928,0.9018017782,0.6485833187,0.4097027016,0.4513498595,0.880952381,958.1598,3.5883,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
4,cardio_veins.csv,0.3572046468,0.3764880744,0.9144736585,0.7307499814,0.4231842094,0.457779352,0.9047619048,1044.8505,4.3685,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
5,cardio_veins.csv,0.3684680641,0.7499999338,0.9999999697,0.869499976,0.4803684198,0.3798523588,0.9047619048,1082.1742,3.1495,"{'learning_rate': 0.005, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
6,cardio_veins.csv,0.5813094487,0.7499999448,0.9999999724,0.8427499789,0.2844210519,0.6279622666,0.9047619048,973.2852,3.4609,"{'learning_rate': 0.005, 'loss': 'mse', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
7,cardio_veins.csv,0.2519044567,0.07710622407,0.7435897169,0.6073333131,0.3831794862,0.2789344928,0.9285714286,932.7938,4.3036,"{'learning_rate': 0.01, 'loss': 'mse', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
8,cardio_veins.csv,0.3539106079,0.5166666204,0.9829059476,0.8386666387,0.5269487166,0.4047862302,0.9285714286,1010.4136,2.6683,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
9,cardio_veins.csv,0.09877275524,0.09832250743,0.5866227854,0.4658333205,0.4703684198,0.05801241523,0.9047619048,859.5663,2.3589,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
0,chess_krkopt_zerovsall.csv,0.005029281801,0.005641470347,0.1847672864,0.142398772,0.2417227138,0.002565957556,0.8376436782,1696.1451,3.9941,"{'learning_rate': 0.007, 'loss': 'msle', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 132, 'batch_size': None}"
1,chess_krkopt_zerovsall.csv,0.002440295572,0.001752139705,0.04798347705,0.1321666637,0.2914577259,0.001235163889,0.7227011494,1895.0975,3.5677,"{'learning_rate': 0.007, 'loss': 'msle', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 132, 'batch_size': None}"
2,chess_krkopt_zerovsall.csv,0.01591473828,0.01027389849,0.2145829324,0.361305209,0.4565221238,0.008138600004,0.9684813754,1944.7018,3.2457,"{'learning_rate': 0.005, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 132, 'batch_size': None}"
3,chess_krkopt_zerovsall.csv,0.004378738219,0.002404829027,0.2268357418,0.3074999931,0.4061594202,0.00220583217,0.952722063,1942.285,2.7616,"{'learning_rate': 0.005, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 132, 'batch_size': None}"
4,chess_krkopt_zerovsall.csv,0.003769663818,0.0009596930315,0.2528818259,0.3789999855,0.4714308357,0.001895136223,0.994269341,1879.0743,2.6373,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 132, 'batch_size': None}"
5,chess_krkopt_zerovsall.csv,0.006309056943,0.002581823054,0.0629859068,0.2694166626,0.4368046647,0.003197120473,0.9383954155,1260.2299,2.5824,"{'learning_rate': 0.005, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 132, 'batch_size': None}"
6,chess_krkopt_zerovsall.csv,0.003846626273,0.00230166536,0.07880434505,0.3065833247,0.4599782608,0.001937984586,0.9799426934,1275.6364,2.0149,"{'learning_rate': 0.007, 'loss': 'msle', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 132, 'batch_size': None}"
7,chess_krkopt_zerovsall.csv,0.006664719582,0.01116977252,0.3621210094,0.1753604879,0.2213489736,0.003419614508,0.8794835007,1227.5242,1.9925,"{'learning_rate': 0.007, 'loss': 'msle', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 132, 'batch_size': None}"
8,chess_krkopt_zerovsall.csv,0,0,0,0,0.2218681948,0,0.8767908309,1231.3312,2.0385,"{'learning_rate': 0.007, 'loss': 'msle', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 132, 'batch_size': None}"
9,chess_krkopt_zerovsall.csv,0.002136263496,0.001550387731,0.07101449,0.166999996,0.3947884057,0.001075351817,0.6172661871,1245.7181,2.1245,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 132, 'batch_size': None}"
0,cmc-nominal.csv,0.08572162242,0.0472343027,0.04710144777,0.2708333269,0.5881739105,0.05229477935,0.4516129032,805.9927,3.2732,"{'learning_rate': 0.005, 'loss': 'msle', 'clipnorm': 2, 'epochs': 1, 'steps_per_epoch': 7, 'batch_size': None}"
1,cmc-nominal.csv,0.04794109376,0.01785714726,0,0.2839999863,0.6782222197,0.026734964,0.75,965.3658,3.7015,"{'learning_rate': 0.01, 'loss': 'msle', 'clipnorm': 1, 'epochs': 1, 'steps_per_epoch': 7, 'batch_size': None}"
